config,model,seed,run,dataset,accuracy,balanced_accuracy,auc,precision,recall,f1,rmse,mae,r2,val_accuracy
E,gru,5,5,kotekar,0.596153846,0.605280749,0.663937166,0.68115942,0.534090909,0.598726115,0.362634678,0.287343234,0.19227165,0.812903226
E,gru,6,6,kotekar,0.596153846,0.598596257,0.668449198,0.662337662,0.579545455,0.618181818,0.356801417,0.279916763,0.218048513,0.8
E,gru,7,7,kotekar,0.576923077,0.581550802,0.648395722,0.648648649,0.545454545,0.592592593,0.380132461,0.296322078,0.112442374,0.787096774
E,gru,8,8,kotekar,0.583333333,0.592245989,0.657419786,0.666666667,0.522727273,0.585987261,0.370672569,0.291617781,0.156067729,0.787096774
E,gru,9,9,kotekar,0.583333333,0.58723262,0.651737968,0.653333333,0.556818182,0.601226994,0.358342865,0.278058857,0.211277544,0.793548387
E,gru,10,10,kotekar,0.58974359,0.596256684,0.672627005,0.666666667,0.545454545,0.6,0.3754119,0.291953534,0.134349227,0.806451613
E,gru,11,11,kotekar,0.551282051,0.57052139,0.640541444,0.660714286,0.420454545,0.513888889,0.353129941,0.270866305,0.234058201,0.774193548
E,gru,12,12,kotekar,0.564102564,0.560160428,0.656584225,0.619047619,0.590909091,0.604651163,0.366418785,0.289450794,0.175326347,0.793548387
E,gru,13,13,kotekar,0.596153846,0.60026738,0.662433155,0.666666667,0.568181818,0.613496933,0.378789608,0.294886202,0.118701994,0.793548387
E,gru,14,14,kotekar,0.576923077,0.59157754,0.642546791,0.677419355,0.477272727,0.56,0.381674223,0.296811908,0.105228066,0.774193548
E,gru,15,15,kotekar,0.583333333,0.588903743,0.651737968,0.657534247,0.545454545,0.596273292,0.375359502,0.292857617,0.134590864,0.793548387
E,gru,16,16,kotekar,0.576923077,0.584893048,0.660427807,0.657142857,0.522727273,0.582278481,0.354248383,0.276657939,0.229198694,0.793548387
E,gru,17,17,kotekar,0.570512821,0.574197861,0.649565508,0.64,0.545454545,0.588957055,0.375494353,0.300193578,0.13396889,0.806451613
E,gru,18,18,kotekar,0.596153846,0.605280749,0.653743316,0.68115942,0.534090909,0.598726115,0.367516005,0.289084762,0.170380116,0.793548387
E,gru,19,19,kotekar,0.576923077,0.584893048,0.65040107,0.657142857,0.522727273,0.582278481,0.363671555,0.286070436,0.187646031,0.793548387
E,gru,20,20,kotekar,0.615384615,0.627339572,0.66059492,0.712121212,0.534090909,0.61038961,0.361107919,0.281902045,0.199058712,0.8
E,gru,21,21,kotekar,0.602564103,0.610962567,0.654913102,0.685714286,0.545454545,0.607594937,0.365412358,0.287778378,0.17985028,0.787096774
E,gru,22,22,kotekar,0.58974359,0.602941176,0.659926471,0.6875,0.5,0.578947368,0.365553202,0.28319487,0.179217935,0.8
